Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CANADA|G8, CENTRALSA|02/08/2019| 8703236900|2006|HONDA|CIVIC EX|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|9541.27|1144.95|
MEXICO|G8, CENTRALSA|01/08/2019| 8703236900|2008|NISSAN|VERSA|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|10807.81|1296.94|
COREA DEL SUR|PUERTO QUETZAL|01/08/2019| 8703337000|2002|HYUNDAI|TERRACAN JX290 4WD|2902|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|7|5|0|24325.24|2919.03|
ESTADOS UNIDOS|G1, INTEGRADA|01/08/2019| 8703237900|2013|HYUNDAI|SANTA FE SPORT|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|37481.91|4497.83|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
INDIA|PUERTO QUETZAL|17/07/2019| 8711109000|2020|YAMAHA|XC115B|115|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|344326.7|41319.2|
