"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"91","#TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,44,NA,2020-09-03 00:04:04,FALSE,NA,"1301309951516782597",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PampichiNews",17,FALSE,FALSE,NA,NA,2020-09-02 18:04:04
"92","Yo en el #TraficoGT  cuando un motorista sale del punto ciego atrás de mi carro con intención de atravesarse por de… https://t.co/MrZA19Hqos",FALSE,1,NA,2020-09-02 23:57:53,TRUE,NA,"1301308396562505728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","julio_ecs",0,FALSE,FALSE,NA,NA,2020-09-02 17:57:53
"93","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 23:53:55,FALSE,NA,"1301307399458959361",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vlackyack",56,TRUE,FALSE,NA,NA,2020-09-02 17:53:55
"94","Toco salir #TraficoGT https://t.co/tM7JtRCyQF",FALSE,2,NA,2020-09-02 23:11:37,FALSE,NA,"1301296752012689418",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeromoor",0,FALSE,FALSE,NA,NA,2020-09-02 17:11:37
"95","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 23:06:07,FALSE,NA,"1301295368995573761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sallysica7",56,TRUE,FALSE,NA,NA,2020-09-02 17:06:07
"96","#TraficoGT  🚨 👉 https://t.co/j8YvgFFsR9

1. Se reporta vehículo incendiandose en final de bulevar Balcones zona 8 M… https://t.co/vKvxP2w825",FALSE,2,NA,2020-09-02 21:56:51,TRUE,NA,"1301277938130857985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","transdocnoticia",0,FALSE,FALSE,NA,NA,2020-09-02 15:56:51
"97","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 21:43:04,FALSE,NA,"1301274470544539653",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","VozChapina",56,TRUE,FALSE,NA,NA,2020-09-02 15:43:04
"98","RT @EmixtraPablo: Se reporta vehículo incendiandose en final de bulevar Balcones zona 8 Mixco, unidad contra incendios trabaja en el lugar…",FALSE,0,NA,2020-09-02 21:39:54,FALSE,NA,"1301273672594984963",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","traficogt",1,TRUE,FALSE,NA,NA,2020-09-02 15:39:54
"99","RT @alba_keneth: #AlertaAlbaKeneth ⚠ | Antonio Coc Chocoj, de 16 años de edad.  Desapareció el 02 de septiembre de 2020, en Roosevelt, Z.7,…",FALSE,0,NA,2020-09-02 21:38:43,FALSE,NA,"1301273375436877828",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","traficogt",36,TRUE,FALSE,NA,NA,2020-09-02 15:38:43
"100","RT @amilcarmontejo: Caminar o andar en bici 20 minutos diariamente estimulan hormonas de la felicidad*, ayudando a una mejor calidad de vid…",FALSE,0,NA,2020-09-02 21:17:38,FALSE,NA,"1301268068941869057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alvarojacf",56,TRUE,FALSE,NA,NA,2020-09-02 15:17:38
