Año,Mes,GLP,Gasolina aviación,Gasolina superior,Gasolina regular,Kerosina,Combustible Turbo Jet,Diesel,Diesel Bajo Azufre,Diesel Ultra Bajo Azufre,Bunker,Asfalto,PetCoke,Aceites Lubricantes,Grasas Lubricantes,Solventes,Naftas,Ceras,Butano,Petróleo Reconstit.,MTBE,Orimulción,Mezclas Oleosas,Total
2016,7,"455,823.14",- ,"618,366.10","526,652.73","22,000.00","108,804.20","859,222.62",- ,- ,"127,905.46",- ,"181,500.00",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,900,274.25"
2016,8,"588,310.54",285,"625,218.90","512,202.57","20,000.00","147,462.11","701,185.75",- ,- ,"246,976.30",428.6,"181,492.85",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,023,562.62"
2016,9,"306,543.41",- ,"677,892.97","567,786.57","17,000.00","94,858.75","1,274,128.31",- ,- ,"188,931.32","1,571.40",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,128,712.73"
2016,10,"717,388.57",- ,"546,154.65","455,850.76","26,173.00","81,839.62","927,923.50",- ,- ,"62,511.80","1,428.60",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,819,270.50"
2016,11,"505,975.98","6,444.20","725,548.16","476,784.16","13,197.00","95,032.90","957,656.05",- ,- ,"304,552.31","4,142.90","165,005.50",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,254,339.16"
2016,12,"584,807.19",- ,"526,573.96","473,659.59","31,039.20","158,719.36","1,303,735.78",- ,- ,"306,550.77","3,857.00","160,560.68",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,549,503.52"
2017,1,"567,345.82",- ,"748,233.58","527,564.90",- ,"33,917.24","842,993.49",- ,- ,"213,661.50","3,190.00",- ,- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"2,936,978.82"
2017,2,"279,527.23","21,844.81","497,707.41","469,140.06","1,040.00","152,952.20","844,676.98",- ,- ,"72,649.78",714.3,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,340,252.77"
2017,3,"780,048.59","3,505.27","734,984.24","608,144.98",- ,"75,312.22","1,351,787.92",- ,- ,"376,955.72","3,142.90","388,055.94",- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"4,322,010.07"
2017,4,"530,578.14",508.27,"632,843.41","681,303.11",- ,"154,934.13","1,406,022.43",- ,- ,"106,518.75","1,285.71","404,822.98",- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"3,918,889.22"
2017,5,"604,702.55","3,193.64","442,311.09","386,088.18",- ,"105,375.23","889,926.86",- ,- ,"160,374.50","1,285.71",- ,- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"2,593,330.05"
2017,6,"487,244.19",367.94,"582,374.34","519,389.66",- ,"48,933.84","902,659.00",- ,- ,"191,218.23","1,428.57","182,141.85",- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"2,915,829.91"
2017,7,"510,428.14",- ,"769,214.06","433,026.08",- ,"54,997.21","994,338.30",- ,- ,"85,356.63","1,857.14",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,849,217.56"
2017,8,"538,582.14",666.23,"607,368.72","592,103.31",- ,"76,542.18","846,696.35",- ,- ,"44,448.27","3,269.86","583,079.69",- ,- ,- ,- ,- ,144.57,- ,- ,- ,- ,"3,292,901.32"
2017,9,"350,294.57",- ,"401,678.98","316,435.22",- ,"125,724.44","925,397.87",- ,- ,"218,358.99","3,857.14",- ,- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"2,341,819.50"
2017,10,"584,709.61","6,925.95","657,241.76","574,073.61",- ,"132,304.57","740,198.57",- ,- ,"219,812.14","5,286.19","167,584.01",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,088,136.41"
2017,11,"935,986.51",- ,"504,247.31","434,963.36",- ,"24,435.17","1,135,350.10",- ,- ,"127,575.05","10,880.53",- ,- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"3,173,510.32"
2017,12,"595,421.43","4,729.14","803,216.88","679,441.47",- ,"80,037.74","1,305,047.55",- ,- ,"56,960.00","3,150.02","155,599.02",- ,- ,- ,- ,- ,72.29,- ,- ,- ,- ,"3,683,675.54"
